date,max_temp,min_temp,weather,rain
2017-08-04,33,26,雷阵雨,1
2017-08-05,34,25,雷阵雨,1
2017-08-06,34,26,雷阵雨,1
2017-08-07,34,25,雷阵雨,1
2017-08-08,35,27,多云,0
2017-08-09,35,27,多云,0
2017-08-10,35,27,多云,0
2017-08-11,35,27,雷阵雨,1
2017-08-12,35,27,雷阵雨,1
2017-08-13,36,27,多云,0
2017-08-14,36,27,多云,0
2017-08-15,35,26,多云,0
2017-08-16,34,26,多云,0
2017-08-17,33,26,多云,0
2017-08-18,33,26,雷阵雨,1
2017-08-19,33,26,雷阵雨,1
2017-08-20,33,26,雷阵雨,1
2017-08-21,33,26,多云,0
2017-08-22,32,26,多云,0
2017-08-23,29,25,大雨,1
2017-08-24,32,25,多云,0
2017-08-25,32,26,雷阵雨,1
2017-08-26,31,26,雷阵雨,1
2017-08-27,30,26,大雨,1
2017-08-28,30,25,雷阵雨,1
2017-08-29,29,26,雷阵雨,1
2017-08-30,32,25,多云,0
2017-08-31,33,26,多云,0
2017-09-01,33,25,多云,0
2017-09-02,33,26,多云,0
2017-09-03,33,26,多云,0
2017-09-04,34,27,多云,0
2017-09-05,33,27,雷阵雨,1
2017-09-06,33,26,雷阵雨,1
2017-09-07,32,25,雷阵雨,1
2017-09-08,33,26,雷阵雨,1
2017-09-09,34,26,多云,0
2017-09-10,34,26,多云,0
2017-09-11,35,25,雷阵雨,1
2017-09-12,33,26,多云,0
2017-09-13,32,26,多云,0
2017-09-14,30,26,中到大雨,1
2017-09-15,32,26,雷阵雨,1
2017-09-16,32,26,多云,0
2017-09-17,33,26,多云,0
2017-09-18,34,26,多云,0
2017-09-19,34,26,多云,0
2017-09-20,34,26,多云,0
2017-09-21,32,26,多云,0
2017-09-22,32,25,雷阵雨,1
2017-09-23,32,25,雷阵雨,1
2017-09-24,31,25,暴雨,1
2017-09-25,32,26,多云,0
2017-09-26,32,26,多云,0
2017-09-27,33,26,多云,0
2017-09-28,31,26,雷阵雨,1
2017-09-29,31,25,雷阵雨,1
2017-09-30,32,25,雷阵雨,1
2017-10-01,32,25,雷阵雨,1
2017-10-02,31,25,雷阵雨,1
2017-10-03,31,25,雷阵雨,1
2017-10-04,32,26,雷阵雨,1
2017-10-05,29,25,雷阵雨,1
2017-10-06,28,25,中到大雨,1
2017-10-07,31,25,阵雨,1
2017-10-08,30,25,雷阵雨,1
2017-10-09,29,25,大雨,1
2017-10-10,31,25,雷阵雨,1
2017-10-11,30,25,雷阵雨,1
2017-10-12,30,25,多云,0
2017-10-13,29,24,多云,0
2017-10-14,29,23,多云,0
2017-10-15,22,19,大暴雨,1
2017-10-16,26,20,多云,0
2017-10-17,27,24,中到大雨,1
2017-10-18,27,24,阵雨,1
2017-10-19,29,23,多云,0
2017-10-20,27,23,阵雨,1
2017-10-21,27,23,多云,0
2017-10-22,27,22,多云,0
2017-10-23,27,21,多云,0
2017-10-24,27,22,多云,0
2017-10-25,28,21,多云,0
2017-10-26,21,0,多云,0
2017-10-27,21,0,多云,0
2017-10-28,21,0,多云,0
2017-10-29,22,0,多云,0
2017-10-30,26,22,多云,0
2017-10-31,26,21,多云,0
